,Country,1995-1999 A university education is more important for a boy than for a girl,2000-2004 A university education is more important for a boy than for a girl,2005-2009 A university education is more important for a boy than for a girl,2010-2014 A university education is more important for a boy than for a girl,1995-1999 Are you religious,2000-2004 Are you religious,2005-2009 Are you religious,2010-2014 Are you religious,1995-1999 Feeling of happiness,2005-2009 Feeling of happiness,2010-2014 Feeling of happiness,1995-1999 Men make better political leaders than women do,2000-2004 Men make better political leaders than women do,2005-2009 Men make better political leaders than women do,2010-2014 Men make better political leaders than women do,1995-1999 State of health,2000-2004 State of health,2005-2009 State of health,2010-2014 State of health,1995-1999 Approve woman as a single parent,2000-2004 Approve woman as a single parent,2005-2009 Approve woman as a single parent,1995-1999 Importance of family,2000-2004 Importance of family,2005-2009 Importance of family,2010-2014 Importance of family,1995-1999 Importance of friends,2000-2004 Importance of friends,2005-2009 Importance of friends,2010-2014 Importance of friends,ISO3
82,Thailand,,,2306.0,2296.0,,,2130.0,1920.0,,4634.0,4620.0,,,3034.0,3208.0,,,3856.0,4126.0,,,2328.0,,,5692.0,5718.0,,,4340.0,4236.0,THA
83,Trinidad and Tobago,,,1262.0,1068.0,,,4962.0,4728.0,,4738.0,4826.0,,,2050.0,1930.0,,,4074.0,4258.0,,,1791.0,,,5878.0,5848.0,,,4222.0,4142.0,TTO
84,United Kingdom,,,1500.0,,,,2832.0,,4408.0,4854.0,,,,1936.0,,,,4014.0,,,,2760.0,,,5818.0,,,,5292.0,,GBR
85,Burkina Faso,,,2520.0,,,,5262.0,,,3982.0,,,,3320.0,,,,3872.0,,,,645.0,,,5870.0,,,,4882.0,,BFA
86,Zambia,,,1886.0,,,,4932.0,,,3174.0,,,,2976.0,,,,3686.0,,,,1689.0,,,5756.0,,,,4638.0,,ZMB
87,Ecuador,,,,1952.0,,,,4266.0,,,4998.0,,,,2168.0,,,,3922.0,,,,,,,5958.0,,,,4060.0,ECU
88,Palestine,,,,2176.0,,,,4344.0,,,3576.0,,,,4506.0,,,,3934.0,,,,,,,5898.0,,,,4510.0,
89,Haiti,,,,3548.0,,,,5418.0,,,4172.0,,,,2432.0,,,,3574.0,,,,,,,5352.0,,,,4494.0,HTI
90,Kazakhstan,,,,2028.0,,,,3702.0,,,4386.0,,,,3678.0,,,,3394.0,,,,,,,5832.0,,,,4678.0,KAZ
91,Kuwait,,,,2584.0,,,,3965.9999999999995,,,4618.0,,,,4308.0,,,,4476.0,,,,,,,5800.0,,,,4868.0,KWT
92,Lebanon,,,,2170.0,,,,3816.0,,,3870.0,,,,3282.0,,,,3950.0,,,,,,,5042.0,,,,4632.0,LBN
93,Libya,,,,2466.0,,,,4110.0,,,4444.0,,,,4438.0,,,,4642.0,,,,,,,5918.0,,,,5058.0,
94,Qatar,,,,2374.0,,,,5628.0,,,5082.0,,,,4868.0,,,,4754.0,,,,,,,5974.0,,,,5426.0,QAT
95,Tunisia,,,,1962.0,,,,3905.9999999999995,,,3822.0,,,,4152.0,,,,3824.0,,,,,,,5932.0,,,,4456.0,TUN
96,Uzbekistan,,,,3098.0,,,,2922.0,,,5196.0,,,,4424.0,,,,3896.0,,,,,,,5940.0,,,,4838.0,UZB
97,Yemen,,,,2846.0,,,,5178.0,,,3730.0,,,,4640.0,,,,3784.0,,,,,,,5876.0,,,,4746.0,YEM
